Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Duration (ms),Popularity,Artist Genres,Danceability,Label
1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,Fearless,2008,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc,235266,63,pop,0.618,"Big Machine Records, LLC"
14uiLlBzEQOqXxJRa7S4cL,Dancing in the Moonlight - 2001 Remix,Toploader,A Walk To Remember Music From The Motion Picture,2002,https://i.scdn.co/image/ab67616d0000b2733bb0905210d7c7304d6753d3,232440,43,british alternative rock,0.74,Epic/Sony Music Soundtrax
2sZIclzhHlH8tzf7wry9hK,Harper Valley P.T.A.,Jeannie C. Riley,Harper Valley P.T.A. (The Plantation Recordings 1968-70),2013,https://i.scdn.co/image/ab67616d0000b273b547cd753b67701cfef801d9,194400,50,classic country pop,0.795,Charly
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream: The Complete Confection,2012,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,230746,72,pop,0.649,Capitol Records
53DZyJ7xXnTaUZ1VPdFWEn,Swamp Thing,The Grid,90s 100 Hits,2014,https://i.scdn.co/image/ab67616d0000b273b212e660aec81b60a425d4f1,237520,37,hip house,0.666,Legacy Recordings
0u56clbegXVe6daER5ZHm4,Wisemen,James Blunt,Back to Bedlam,2005,https://i.scdn.co/image/ab67616d0000b2739489b7675f782feada134658,221773,48,neo mellow,0.633,Atlantic Records
3ylbGgtmgFawUcoOnCR6Pj,They Don't Know Us,Kilter,Through The Distortion,2017,https://i.scdn.co/image/ab67616d0000b273959e3612cd77f88dc2acea8d,195356,17,aussietronica,0.749,Universal Music Australia (Distribution)
4PlfgBlKpZZ0LmAR5RgCxT,Teen Angel,Mark Dinning,Teen Angel,2012,https://i.scdn.co/image/ab67616d0000b273de0d87bbd7b2fad6193e4bd5,160320,0,deep adult standards,0.447,Golden Recordings
2mfUa8bLs2s5N4VaqJZ4lZ,Most Girls,Hailee Steinfeld,Most Girls,2017,https://i.scdn.co/image/ab67616d0000b2739e1b81dc79bd5055417b1e5a,204400,0,pop,0.755,Universal Music Group
47W6YR93MPCGLEUReLMyDm,Virtual Insanity - Remastered 2006,Jamiroquai,High Times: Singles 1992-2006 (Remastered),2006,https://i.scdn.co/image/ab67616d0000b2730a56670fb490847a007e9365,229360,1,dance pop,0.662,Columbia
2vCildfq2lk1uKuJ8z9rnW,Meet Her At The Love Parade,Da Hool,"Clubland - Dance Hits: The Biggest Tracks Of All Time, Vol. 1",2015,https://i.scdn.co/image/ab67616d0000b2730beb49ccb19b199a3c819f9d,213466,0,bubble trance,0.793,Central Station Records
1Hzi3KQVnvVYAn8Vv9zL2o,WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),2020,https://i.scdn.co/image/ab67616d0000b27359adebe50df1ff4bdd92f34c,161384,0,australian hip hop,0.43,Columbia
3UwT4FadEGWyMdaSwYcUBY,This Town,Niall Horan,Flicker (Deluxe),2017,https://i.scdn.co/image/ab67616d0000b27394fde6afa9cbf073e5b6445a,232852,0,pop,0.678,Universal Music Group
6LJyXCSwdBPT9PsqQbi6eW,Paper Tiger,Sue Thompson,My Hero,2015,https://i.scdn.co/image/ab67616d0000b27320dbe3bb3153b4db3fd88d6c,144875,0,deep adult standards,0.728,Edizione Jazz
1hpQGK6u2ecNWDXSFnBn1Y,Biding My Time,Busby Marou,Busby Marou,2011,https://i.scdn.co/image/ab67616d0000b273f1bd6eb0530cf270564487f3,243066,0,australian indigenous music,0.703,WM Australia
4dRtB5AKHfgfuFo5ExUzRP,Mockingbird (With Margaret McLaren),Johnny O'Keefe,The Very Best Of (Standard),2008,https://i.scdn.co/image/ab67616d0000b27330ad726114f1781c8d4d81bf,164720,11,australian rock,0.844,WM Australia
59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,Taylor Swift,1989,2014,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,220440,64,pop,0.554,"Big Machine Records, LLC"
0yjNmllr3Ew6f97TqPuEqa,The Ballad Of The Green Berets,Sgt. Barry Sadler,Ballads of The Green Berets,1966,https://i.scdn.co/image/ab67616d0000b273306ddc325758b12928514b61,146400,41,military cadence,0.715,RCA/Legacy
097Tr8QiDLiTQlEoLI96AP,Spirit in the Sky,Doctor & The Medics,Laughing At the Pieces,2003,https://i.scdn.co/image/ab67616d0000b273986f553d178410a0981f4750,208106,0,glam rock,0.619,Madman Records
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),2023,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,229477,76,pop,0.599,Taylor Swift
5YLHLxoZsodDWjqSgjhBf3,Myself,Bazzi,COSMIC,2018,https://i.scdn.co/image/ab67616d0000b273f9f2d43ff44bdfbe8c556f8d,167552,61,pop,0.745,iamcosmic
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,I Like Me Better,2017,https://i.scdn.co/image/ab67616d0000b273fab48816b625e2a77a732400,197436,2,pop,0.752,Lauv
2QXUaiHDPoAQ7OqBxseo7U,Let The Night Roll On,The Angels,Beyond Salvation,1990,https://i.scdn.co/image/ab67616d0000b27340feafcb81c089ccf648a60c,244360,0,australian rock,0.402,Bloodlines
